id,grade_level,sex,race,gpa,econ_dis,disability,dis_cat,lang,iss_off,iss_days,subj_off,days_absent
3860,9th Grade,Male,White,3.33,No,No,Not Applicable,English,0,0,0,2
3861,10th Grade,Female,Black,3,No,No,Not Applicable,English,1,1,1,6
3862,3rd Grade,Female,Black,2.67,No,No,Not Applicable,English,0,0,0,2
3863,11th Grade,Male,Hispanic,3.33,Yes,Yes,Emotional Disturbance,English,0,0,0,1
3864,7th Grade,Male,Black,3,Yes,No,Not Applicable,Other,0,0,1,3
3865,2nd Grade,Male,White,3.33,No,No,Not Applicable,Other,0,0,0,0
3866,7th Grade,Male,White,2.67,Yes,No,Not Applicable,English,0,0,0,2
3867,8th Grade,Female,White,2.33,No,No,Not Applicable,Other,4,3,3,10
3868,2nd Grade,Female,Asian,2.67,No,No,Not Applicable,Spanish,0,0,0,3
3869,1st Grade,Female,White,2.67,Yes,No,Not Applicable,Spanish,0,0,1,2
3870,11th Grade,Male,White,3,No,No,Not Applicable,English,0,0,0,1
3871,Pre-K,Female,White,2,Yes,Yes,Autism,Spanish,0,0,0,5
3872,Kindergarten,Male,White,2.67,Yes,No,Not Applicable,English,1,6,11,11
3873,8th Grade,Male,White,3,Yes,No,Not Applicable,English,0,0,0,1
3874,9th Grade,Male,Black,3.67,Yes,No,Not Applicable,English,0,0,0,4
3875,7th Grade,Male,Black,2.33,Yes,No,Not Applicable,English,0,0,0,2
3876,7th Grade,Male,White,2.67,Yes,No,Not Applicable,Spanish,0,0,0,0
3877,4th Grade,Male,White,3,No,Yes,Specific Learning Disability,English,0,0,0,1
3878,1st Grade,Male,Hispanic,2.33,Yes,No,Not Applicable,English,0,0,0,0
3879,12th Grade,Male,Asian,2.33,Yes,No,Not Applicable,Arabic,0,0,0,0
3880,7th Grade,Male,Black,2.33,No,No,Not Applicable,English,0,0,0,2
3881,1st Grade,Female,White,3,No,Yes,Other,English,1,7,10,12
3882,Pre-K,Female,Hispanic,2.33,Yes,No,Not Applicable,English,1,1,1,15
3883,7th Grade,Female,Native,2.67,Yes,No,Not Applicable,English,1,1,2,12
3884,4th Grade,Male,Black,4,No,No,Not Applicable,Other,0,0,0,1
3885,1st Grade,Female,Black,3,No,Yes,Speech/Language Impairments,Arabic,0,0,0,0
3886,11th Grade,Female,White,2.67,No,No,Not Applicable,Other,0,0,0,0
3887,9th Grade,Female,White,2.67,No,No,Not Applicable,English,0,0,0,0
3888,11th Grade,Male,White,3,No,No,Not Applicable,English,0,0,0,1
3889,8th Grade,Female,Hispanic,2,No,No,Not Applicable,Other,0,0,0,1
3890,Kindergarten,Female,White,4,No,No,Not Applicable,English,0,0,0,1
3891,8th Grade,Male,White,3,Yes,Yes,Specific Learning Disability,English,0,0,0,0
3892,7th Grade,Male,Hispanic,3,Yes,Yes,Intellectual Disability,English,0,0,0,1
3893,7th Grade,Female,White,2.67,Yes,No,Not Applicable,Spanish,0,0,0,1
3894,3rd Grade,Male,Black,3.33,Yes,No,Not Applicable,English,0,0,0,4
3895,10th Grade,Male,White,3.33,No,No,Not Applicable,Other,0,0,0,2
3896,1st Grade,Female,White,3.33,No,Yes,Other,English,0,0,0,4
3897,11th Grade,Female,Hispanic,2.67,Yes,Yes,Other,English,0,0,2,1
3898,2nd Grade,Male,Hispanic,2.67,No,No,Not Applicable,English,0,0,0,0
3899,10th Grade,Male,Hispanic,2,Yes,No,Not Applicable,Spanish,0,0,0,3
3900,11th Grade,Female,White,2.67,Yes,No,Not Applicable,Other,0,0,0,2
3901,3rd Grade,Male,White,2,Yes,No,Not Applicable,Spanish,0,0,0,2
3902,6th Grade,Female,White,2.67,Yes,No,Not Applicable,English,0,0,0,0
3903,7th Grade,Male,Hispanic,2,No,No,Not Applicable,English,0,0,0,1
3904,6th Grade,Male,,3,Yes,No,Not Applicable,English,0,0,0,3
3905,12th Grade,Male,White,2.67,Yes,Yes,Speech/Language Impairments,Spanish,0,0,0,2
3906,5th Grade,Female,Native,2.67,No,No,Not Applicable,English,0,0,0,4
3907,Pre-K,Male,White,2.67,No,Yes,Specific Learning Disability,English,0,0,0,4
3908,Kindergarten,Male,White,2.33,No,No,Not Applicable,English,1,1,3,11
3909,8th Grade,Female,White,2.33,No,No,Not Applicable,English,1,2,3,8
3910,5th Grade,,White,3,No,No,Not Applicable,English,0,0,0,3
3911,12th Grade,Female,Hispanic,3,No,No,Not Applicable,English,3,3,2,14
3912,1st Grade,Female,Black,3.33,Yes,No,Not Applicable,English,0,0,0,1
3913,9th Grade,Female,White,3,Yes,No,Not Applicable,English,,,,8
3914,2nd Grade,Male,White,3,Yes,No,Not Applicable,English,0,0,0,0
3915,Pre-K,Female,White,3.33,Yes,No,Not Applicable,English,,,,33
3916,5th Grade,Female,White,3,Yes,No,Not Applicable,English,0,0,0,2
3917,12th Grade,Female,White,3.33,Yes,No,Not Applicable,Other,0,0,0,1
3918,5th Grade,Female,White,3,Yes,No,Not Applicable,English,0,0,1,5
3919,5th Grade,Female,Black,2,Yes,No,Not Applicable,Vietnamese,5,4,4,10
3920,Kindergarten,Female,,2.67,Yes,No,Not Applicable,Spanish,0,0,0,3
3921,Pre-K,Female,White,3,No,Yes,Specific Learning Disability,English,0,0,0,2
3922,8th Grade,Female,White,3,No,No,Not Applicable,Spanish,0,0,0,0
3923,12th Grade,Female,Hispanic,3.33,Yes,No,Not Applicable,English,0,0,0,1
3924,2nd Grade,Female,Black,3,Yes,No,Not Applicable,Spanish,0,0,0,2
3925,9th Grade,Male,Black,3,No,No,Not Applicable,Spanish,0,0,0,1
3926,6th Grade,Male,White,3,No,No,Not Applicable,Spanish,0,0,1,1
3927,12th Grade,Female,White,2.67,Yes,No,Not Applicable,Spanish,0,0,0,1
3928,1st Grade,Male,White,2.33,Yes,No,Not Applicable,English,0,0,0,0
3929,7th Grade,Female,White,3,Yes,No,Not Applicable,English,0,0,0,2
3930,1st Grade,Female,Black,3,No,Yes,Specific Learning Disability,English,0,0,0,3
3931,11th Grade,Female,Hispanic,3.67,No,No,Not Applicable,English,0,0,0,3
3932,6th Grade,Male,White,3,Yes,No,Not Applicable,English,0,0,0,0
3933,5th Grade,Male,White,2.67,Yes,No,Not Applicable,English,0,0,0,1
3934,4th Grade,Male,Hispanic,3,Yes,No,Not Applicable,English,0,0,0,3
3935,2nd Grade,Male,Multi-racial,2.67,No,Yes,Autism,English,0,0,0,4
3936,3rd Grade,Male,White,3,Yes,No,Not Applicable,Other,0,0,0,0
3937,12th Grade,Male,White,3.33,No,No,Not Applicable,Spanish,0,0,0,4
3938,2nd Grade,Female,Asian,3,No,No,Not Applicable,English,0,0,0,2
3939,6th Grade,Female,White,2.67,Yes,No,Not Applicable,English,0,0,0,5
3940,9th Grade,Female,Hispanic,2.67,No,No,Not Applicable,English,0,0,0,0
3941,4th Grade,Female,Black,2.67,Yes,Yes,Specific Learning Disability,Spanish,0,0,0,4
3942,8th Grade,Female,Black,2,Yes,Yes,Specific Learning Disability,Spanish,0,0,0,2
3943,Kindergarten,Female,White,3,Yes,No,Not Applicable,English,0,0,0,4
3944,7th Grade,Male,White,3,No,No,Not Applicable,English,0,0,0,1
3945,10th Grade,Male,Black,2.33,No,Yes,Emotional Disturbance,Other,0,0,0,1
3946,9th Grade,Female,White,3,No,No,Not Applicable,English,0,0,0,0
3947,6th Grade,Female,White,3,Yes,No,Not Applicable,Spanish,0,0,0,0
3948,10th Grade,Male,White,2,No,Yes,Intellectual Disability,Spanish,0,0,0,1
3949,7th Grade,Female,Black,2,No,No,Not Applicable,Spanish,0,0,0,1
3950,3rd Grade,Male,Black,3.67,Yes,No,Not Applicable,English,0,0,0,2
3951,7th Grade,Male,White,3,Yes,No,Not Applicable,English,0,0,0,3
3952,11th Grade,Male,White,3.67,Yes,No,Not Applicable,English,0,0,0,3
3953,10th Grade,Male,White,2.67,Yes,No,Not Applicable,English,0,0,0,4
3954,Pre-K,Female,Asian,3,No,No,Not Applicable,Other,0,0,0,2
3955,2nd Grade,Female,Hispanic,4,Yes,No,Not Applicable,English,0,0,0,3
3956,11th Grade,Female,White,3,No,No,Not Applicable,English,0,0,0,2
3957,5th Grade,Male,Hispanic,2.67,No,No,Not Applicable,English,0,0,0,2
3958,7th Grade,Male,White,3,Yes,No,Not Applicable,Other,0,0,0,0
3959,Pre-K,Male,White,3,Yes,No,Not Applicable,English,0,0,0,2
3960,10th Grade,Male,White,2.67,Yes,No,Not Applicable,Russian,0,0,0,2
3961,Pre-K,Female,Black,2.67,No,Yes,Autism,English,0,0,0,2
3962,Pre-K,Female,Black,2.33,No,No,Not Applicable,Chinese,0,0,0,5
3963,10th Grade,Female,Hispanic,2.33,No,No,Not Applicable,English,0,0,0,0
3964,7th Grade,Female,White,3,Yes,No,Not Applicable,English,0,0,0,1
3965,1st Grade,Female,White,3.33,Yes,Yes,Other,English,0,0,0,0
3966,4th Grade,Female,Black,2.33,No,No,Not Applicable,English,0,0,0,5
3967,4th Grade,Male,White,2.67,No,Yes,Emotional Disturbance,English,0,0,0,3
3968,10th Grade,Female,White,3.33,Yes,No,Not Applicable,English,0,0,0,4
3969,Pre-K,Male,Black,2.67,No,No,Not Applicable,English,0,0,0,0
3970,2nd Grade,Female,Black,3,No,No,Not Applicable,English,0,0,0,3
3971,8th Grade,Female,White,3.67,Yes,No,Not Applicable,English,0,0,0,4
3972,4th Grade,Male,White,2.33,Yes,No,Not Applicable,English,,,,16
3973,1st Grade,Female,White,2.33,Yes,No,Not Applicable,Spanish,0,0,0,2
3974,6th Grade,Male,White,2.67,Yes,No,Not Applicable,English,0,0,0,1
3975,Kindergarten,Female,Black,3.33,Yes,No,Not Applicable,English,0,0,0,2
3976,4th Grade,Female,White,2,No,No,Not Applicable,English,0,0,0,4
3977,6th Grade,Female,White,2,Yes,No,Not Applicable,English,0,0,0,3
3978,Pre-K,Male,White,3,Yes,No,Not Applicable,Other,0,0,0,4
3979,10th Grade,Female,Hispanic,2.33,Yes,No,Not Applicable,English,0,0,0,1
3980,3rd Grade,Male,White,3,No,Yes,Speech/Language Impairments,English,0,0,0,1
3981,6th Grade,Male,,2.67,Yes,No,Not Applicable,English,0,0,0,0
3982,Pre-K,Female,White,2,Yes,No,Not Applicable,Vietnamese,1,1,5,9
3983,6th Grade,Male,White,2.67,No,No,Not Applicable,English,0,0,0,1
3984,12th Grade,Female,Hispanic,3,No,No,Not Applicable,English,0,0,0,5
3985,5th Grade,Female,White,3.67,No,No,Not Applicable,English,0,0,0,3
3986,8th Grade,Female,White,3,Yes,No,Not Applicable,English,0,0,0,2
3987,4th Grade,Male,White,3,No,Yes,Developmental Delay,Spanish,0,0,0,2
3988,2nd Grade,Female,White,3,Yes,No,Not Applicable,English,0,0,0,2
3989,8th Grade,Male,Asian,2.67,No,No,Not Applicable,English,0,0,0,1
3990,5th Grade,Female,White,2.33,Yes,No,Not Applicable,English,0,0,0,2
3991,Pre-K,Male,White,2.67,Yes,No,Not Applicable,English,0,0,0,1
3992,3rd Grade,Female,White,3,Yes,No,Not Applicable,English,0,0,0,2
3993,8th Grade,Male,White,2.33,No,No,Not Applicable,English,0,0,0,4
3994,1st Grade,Female,Asian,3,No,No,Not Applicable,Spanish,0,0,0,4
3995,9th Grade,Female,White,3.33,No,No,Not Applicable,Other,0,0,0,0
3996,11th Grade,Male,White,2.67,No,No,Not Applicable,English,0,0,0,2
3997,5th Grade,Male,Native,3,No,Yes,Speech/Language Impairments,English,0,0,0,0
3998,Kindergarten,Male,Asian,2.67,Yes,Yes,Specific Learning Disability,English,0,0,0,0
3999,3rd Grade,Male,White,3.33,No,No,Not Applicable,English,0,0,0,2
4000,11th Grade,Female,Hispanic,2.33,No,No,Not Applicable,Russian,0,0,0,1
4001,6th Grade,Female,Hispanic,2.67,Yes,Yes,Specific Learning Disability,Spanish,0,0,0,1
4002,10th Grade,Female,Hispanic,3,No,No,Not Applicable,English,0,0,0,2
4003,1st Grade,Male,Hispanic,3.33,Yes,No,Not Applicable,English,0,0,0,2
4004,2nd Grade,Male,White,3,No,No,Not Applicable,English,0,0,0,0
4005,3rd Grade,Male,White,2.67,No,No,Not Applicable,English,0,0,0,1
4006,Pre-K,Female,White,3.33,No,No,Not Applicable,English,7,5,2,6
4007,Kindergarten,Female,Hispanic,2.67,No,No,Not Applicable,English,6,4,5,14
4008,Kindergarten,Female,White,2.33,Yes,No,Not Applicable,English,0,0,0,1
4009,1st Grade,Male,White,2.67,Yes,No,Not Applicable,English,0,0,0,0
4010,12th Grade,Female,Black,2.67,No,No,Not Applicable,English,0,0,0,2
4011,2nd Grade,Female,Hispanic,2.67,Yes,No,Not Applicable,English,0,0,0,1
4012,10th Grade,Male,White,3,No,No,Not Applicable,English,0,0,0,0
4013,10th Grade,Female,Hispanic,2.33,No,No,Not Applicable,English,4,3,1,8
4014,6th Grade,Male,Black,2.33,Yes,No,Not Applicable,Spanish,0,0,0,1
4015,10th Grade,Male,White,2.33,No,No,Not Applicable,Spanish,0,0,0,0
4016,1st Grade,Female,Black,2.67,Yes,Yes,Specific Learning Disability,English,0,0,0,0
4017,9th Grade,Female,Black,4,No,No,Not Applicable,English,0,0,0,0
4018,1st Grade,Male,Black,2,Yes,No,Not Applicable,Spanish,0,0,0,0
4019,8th Grade,Male,Hispanic,2.67,No,No,Not Applicable,Spanish,1,1,1,11
4020,7th Grade,Female,White,3,Yes,No,Not Applicable,English,1,1,9,7
4021,3rd Grade,Female,White,3,Yes,No,Not Applicable,English,0,0,0,3
4022,10th Grade,Male,White,3.33,No,No,Not Applicable,English,0,0,1,5
4023,12th Grade,Male,White,1.67,No,Yes,Other,English,0,0,0,5
4024,5th Grade,Male,Hispanic,2.67,Yes,Yes,Autism,English,0,0,0,0
4025,3rd Grade,Female,White,2,No,No,Not Applicable,Other,0,0,0,1
4026,4th Grade,Male,White,2.67,No,No,Not Applicable,English,0,0,0,2
4027,Pre-K,Male,White,2.33,No,No,Not Applicable,Other,0,0,0,3
4028,6th Grade,Female,Hispanic,2.67,Yes,No,Not Applicable,English,0,0,0,3
4029,3rd Grade,Female,Hispanic,3.33,No,No,Not Applicable,English,0,0,0,1
4030,7th Grade,Male,Black,2,Yes,No,Not Applicable,English,0,0,0,1
4031,6th Grade,Male,Hispanic,2.67,No,No,Not Applicable,English,0,0,0,4
4032,1st Grade,Male,White,2.67,Yes,No,Not Applicable,English,0,0,0,1
4033,3rd Grade,Male,White,2.67,No,No,Not Applicable,Spanish,0,0,0,1
4034,2nd Grade,Male,White,3.33,No,No,Not Applicable,English,0,0,0,4
4035,2nd Grade,Male,Hispanic,2.33,Yes,Yes,Specific Learning Disability,Spanish,0,0,0,2
4036,3rd Grade,Male,White,3,Yes,Yes,Specific Learning Disability,English,0,0,0,4
4037,11th Grade,Female,White,3.67,Yes,No,Not Applicable,Other,0,0,0,3
4038,Pre-K,Female,White,2.33,Yes,Yes,Developmental Delay,English,0,0,0,3
4039,6th Grade,Male,White,3.33,Yes,Yes,Speech/Language Impairments,English,0,0,0,1
4040,5th Grade,Female,,2.67,Yes,No,Not Applicable,English,0,0,0,2
4041,4th Grade,Female,Hispanic,2,No,No,Not Applicable,Other,0,0,1,1
4042,7th Grade,Female,White,2.67,No,No,Not Applicable,English,1,2,1,7
4043,Kindergarten,Male,Multi-racial,3,Yes,No,Not Applicable,English,0,0,0,0
4044,4th Grade,Female,White,4,No,No,Not Applicable,English,1,1,2,13
4045,Kindergarten,Female,Asian,3.33,Yes,Yes,Specific Learning Disability,English,0,0,0,1
4046,4th Grade,Male,White,3.33,No,Yes,Specific Learning Disability,English,0,0,2,1
4047,2nd Grade,Male,White,3,Yes,No,Not Applicable,English,1,1,9,11
4048,9th Grade,Female,,2,No,No,Not Applicable,English,0,0,0,4
4049,5th Grade,Male,White,2.67,Yes,Yes,Other,English,,,,25
4050,Pre-K,Male,Black,3,Yes,No,Not Applicable,English,0,0,0,2
4051,6th Grade,Female,White,3,Yes,No,Not Applicable,Other,0,0,0,0
4052,1st Grade,Female,White,2,Yes,No,Not Applicable,English,0,0,0,3
4053,10th Grade,Male,Black,3,No,No,Not Applicable,Russian,0,0,0,5
4054,12th Grade,Female,White,2.33,No,No,Not Applicable,English,0,0,0,4
4055,11th Grade,Female,Asian,2.67,Yes,No,Not Applicable,English,0,0,0,5
4056,2nd Grade,Male,Black,3.33,No,No,Not Applicable,English,0,0,0,3
4057,1st Grade,Female,White,2.33,No,No,Not Applicable,English,0,0,0,2
4058,7th Grade,Female,White,2.33,No,No,Not Applicable,Spanish,0,0,0,3
4059,4th Grade,Female,Black,2.67,Yes,No,Not Applicable,English,0,0,0,4
4060,8th Grade,Male,Black,3,Yes,Yes,Speech/Language Impairments,English,0,0,1,1
4061,3rd Grade,Male,Black,3,Yes,No,Not Applicable,English,3,3,1,6
4062,4th Grade,Male,White,3,Yes,No,Not Applicable,English,,,,7
4063,1st Grade,Female,White,3,Yes,No,Not Applicable,English,0,0,0,1
4064,7th Grade,Male,White,2.33,Yes,No,Not Applicable,English,0,0,0,1
4065,Pre-K,Female,White,3,No,No,Not Applicable,English,0,0,0,4
4066,4th Grade,Male,Black,3,Yes,No,Not Applicable,Spanish,0,0,0,5
4067,5th Grade,Female,White,3,No,No,Not Applicable,Other,0,0,2,1
4068,1st Grade,Female,,3,No,No,Not Applicable,Other,0,0,0,4
4069,11th Grade,Male,Asian,2,Yes,No,Not Applicable,English,0,0,0,0
4070,Pre-K,Male,White,3.33,No,No,Not Applicable,English,0,0,0,1
4071,9th Grade,Male,Black,2.67,Yes,Yes,Emotional Disturbance,English,0,0,0,0
4072,3rd Grade,Female,White,2.33,No,No,Not Applicable,English,0,0,1,4
4073,Pre-K,Female,Hispanic,3,No,No,Not Applicable,English,0,0,0,0
4074,6th Grade,Male,Hispanic,2.67,Yes,No,Not Applicable,English,0,0,0,2
4075,Kindergarten,Male,White,2.33,No,No,Not Applicable,English,0,0,0,1
4076,11th Grade,Male,White,2.67,No,No,Not Applicable,English,0,0,0,0
4077,Kindergarten,Male,White,2.67,Yes,No,Not Applicable,Other,0,0,0,2
4078,6th Grade,Female,White,2.33,Yes,No,Not Applicable,English,0,0,0,2
4079,4th Grade,Female,Black,2,No,Yes,Intellectual Disability,English,12,16,6,8
4080,Kindergarten,Female,White,3,Yes,No,Not Applicable,English,0,0,0,0
4081,7th Grade,Female,White,2,Yes,No,Not Applicable,English,0,0,0,1
4082,10th Grade,Female,Black,2.67,No,No,Not Applicable,English,2,2,1,8
4083,10th Grade,Female,White,3,No,No,Not Applicable,English,0,0,0,0
4084,Kindergarten,Female,Black,2,Yes,No,Not Applicable,English,0,0,0,0
4085,4th Grade,Female,White,3,Yes,No,Not Applicable,English,0,0,0,3
4086,10th Grade,Male,White,2.33,No,No,Not Applicable,English,0,0,0,1
4087,5th Grade,Male,White,2.33,No,No,Not Applicable,English,0,0,0,2
4088,12th Grade,Male,Black,2.67,Yes,No,Not Applicable,English,4,3,3,6
4089,Pre-K,Female,White,3,Yes,No,Not Applicable,English,0,0,0,0
4090,10th Grade,Male,White,2.67,No,No,Not Applicable,Other,0,0,0,3
4091,9th Grade,Female,White,3.33,Yes,No,Not Applicable,Spanish,,,,7
4092,8th Grade,Female,White,2.33,Yes,No,Not Applicable,English,0,0,0,3
4093,3rd Grade,Female,White,2.67,No,Yes,Speech/Language Impairments,English,0,0,1,1
4094,Pre-K,Male,White,3.33,Yes,No,Not Applicable,English,0,0,0,3
4095,9th Grade,Male,Hispanic,2.33,Yes,Yes,Emotional Disturbance,English,0,0,1,3
4096,11th Grade,Male,White,3.67,No,No,Not Applicable,English,0,0,0,5
4097,3rd Grade,Male,White,3.33,No,No,Not Applicable,Spanish,0,0,0,1
4098,10th Grade,Male,White,2.33,No,No,Not Applicable,English,0,0,0,4
4099,11th Grade,Female,White,2.33,No,No,Not Applicable,English,0,0,0,5
4100,8th Grade,Female,White,3.33,No,No,Not Applicable,English,0,0,0,1
4101,12th Grade,Female,Black,3,No,No,Not Applicable,English,,,,17
4102,Kindergarten,,White,2.33,No,No,Not Applicable,English,0,0,0,0
4103,2nd Grade,Male,White,2.33,Yes,No,Not Applicable,English,0,0,0,1
4104,4th Grade,Female,White,2.33,Yes,No,Not Applicable,Spanish,0,0,0,0
4105,2nd Grade,Female,White,3.67,Yes,Yes,Specific Learning Disability,English,0,0,0,1
4106,1st Grade,Male,White,2.33,No,No,Not Applicable,Spanish,2,8,6,6
4107,1st Grade,Male,White,3.33,Yes,No,Not Applicable,English,0,0,0,1
4108,12th Grade,Male,White,2.67,No,No,Not Applicable,English,0,0,0,0
4109,10th Grade,Female,Hispanic,2.67,Yes,No,Not Applicable,English,5,4,4,6
4110,11th Grade,Male,White,2.67,Yes,No,Not Applicable,Other,0,0,0,3
4111,4th Grade,Female,White,3.33,Yes,No,Not Applicable,English,0,0,2,1
4112,9th Grade,Female,Hispanic,3,No,No,Not Applicable,Other,0,0,0,2
4113,12th Grade,Female,White,3,Yes,No,Not Applicable,English,1,1,3,12
4114,10th Grade,Female,Multi-racial,2.33,Yes,No,Not Applicable,Chinese,0,0,0,3
4115,Pre-K,Male,White,2.67,No,No,Not Applicable,English,0,0,0,2
4116,8th Grade,Female,White,3,No,No,Not Applicable,English,0,0,0,0
4117,11th Grade,Female,White,2.33,No,No,Not Applicable,English,0,0,0,0
4118,7th Grade,Male,White,2.67,Yes,Yes,Specific Learning Disability,English,0,0,0,4
4119,1st Grade,Male,White,2.67,No,No,Not Applicable,English,0,0,0,4
4120,1st Grade,Female,White,3,No,No,Not Applicable,English,0,0,0,0
4121,Pre-K,Female,White,3,Yes,Yes,Speech/Language Impairments,English,0,0,0,3
4122,8th Grade,Female,Hispanic,3.33,Yes,No,Not Applicable,English,0,0,0,4
4123,4th Grade,Male,Hispanic,3.33,Yes,No,Not Applicable,English,0,0,0,3
4124,4th Grade,Male,White,3.67,Yes,No,Not Applicable,Spanish,0,0,0,4
4125,10th Grade,Female,Hispanic,3,Yes,No,Not Applicable,Spanish,0,0,0,0
4126,1st Grade,Female,White,3,No,No,Not Applicable,English,0,0,0,5
4127,7th Grade,Male,White,2.33,Yes,No,Not Applicable,Other,0,0,0,4
4128,12th Grade,Female,White,2.67,No,No,Not Applicable,English,,,,33
4129,Kindergarten,Female,White,3.33,Yes,No,Not Applicable,English,0,0,0,1
4130,3rd Grade,Female,White,2,Yes,No,Not Applicable,English,3,3,6,7
4131,7th Grade,Male,White,3,No,No,Not Applicable,English,0,0,0,1
4132,Kindergarten,Male,White,3,Yes,No,Not Applicable,English,,,,12
4133,7th Grade,Male,White,3,No,No,Not Applicable,English,0,0,0,1
4134,9th Grade,Female,White,3,Yes,No,Not Applicable,Other,0,0,0,1
4135,12th Grade,Male,White,3.33,No,Yes,Emotional Disturbance,English,0,0,0,0
4136,7th Grade,Male,Black,2.33,No,No,Not Applicable,English,0,0,1,1
4137,3rd Grade,Male,Black,2.67,Yes,No,Not Applicable,English,0,0,0,2
4138,6th Grade,Female,Hispanic,3.33,Yes,Yes,Speech/Language Impairments,Spanish,0,0,1,4
4139,5th Grade,Male,White,1.33,No,Yes,Intellectual Disability,English,0,0,0,1
4140,10th Grade,Female,White,2.33,Yes,No,Not Applicable,English,0,0,0,5
4141,3rd Grade,Male,White,2.33,Yes,No,Not Applicable,Spanish,2,2,3,6
4142,1st Grade,Male,White,2.33,Yes,No,Not Applicable,Other,0,0,0,3
4143,5th Grade,Female,Hispanic,2.67,Yes,Yes,Autism,English,0,0,0,3
4144,2nd Grade,Male,Asian,3.33,No,No,Not Applicable,English,0,0,0,1
4145,9th Grade,Male,Black,3,Yes,No,Not Applicable,Spanish,0,0,0,2
4146,7th Grade,Female,White,4,Yes,No,Not Applicable,English,,,,37
4147,Kindergarten,Male,White,3,No,No,Not Applicable,English,0,0,0,1
4148,4th Grade,Male,Black,2.67,Yes,No,Not Applicable,English,0,0,0,1
4149,3rd Grade,Female,White,2.33,Yes,No,Not Applicable,English,0,0,0,3
4150,2nd Grade,Female,White,3.67,No,No,Not Applicable,English,,,,30
4151,11th Grade,Female,White,3,No,No,Not Applicable,English,0,0,0,5
4152,3rd Grade,Female,White,2.33,No,No,Not Applicable,English,0,0,0,0
4153,8th Grade,Male,Hispanic,2.33,Yes,No,Not Applicable,English,0,0,0,1
4154,6th Grade,Male,,2.33,No,No,Not Applicable,English,0,0,0,0
4155,12th Grade,Male,White,3.33,Yes,No,Not Applicable,English,0,0,1,2
4156,12th Grade,Female,White,2.33,No,No,Not Applicable,English,3,3,2,7
4157,6th Grade,Female,Hispanic,2,Yes,Yes,Specific Learning Disability,English,0,0,0,2
4158,2nd Grade,Female,White,2.33,Yes,No,Not Applicable,English,2,2,3,7
4159,1st Grade,Female,White,3.67,Yes,No,Not Applicable,Other,0,0,0,4
4160,12th Grade,Female,Black,3.33,Yes,No,Not Applicable,Other,0,0,1,3
4161,8th Grade,Male,White,3,Yes,No,Not Applicable,English,0,0,0,1
4162,9th Grade,Female,White,3.67,Yes,No,Not Applicable,English,0,0,0,1
4163,4th Grade,Female,White,2,No,No,Not Applicable,English,2,2,7,12
4164,Kindergarten,Female,Black,2.67,Yes,No,Not Applicable,Spanish,0,0,0,2
4165,4th Grade,Male,White,3,Yes,No,Not Applicable,Spanish,0,0,0,2
4166,6th Grade,Male,Hispanic,3,No,No,Not Applicable,Other,0,0,0,2
4167,9th Grade,Male,Hispanic,2.67,No,No,Not Applicable,Spanish,1,1,3,6
4168,9th Grade,Female,White,3.33,Yes,No,Not Applicable,Other,4,3,2,8
4169,12th Grade,Male,Hispanic,2.33,No,No,Not Applicable,English,0,0,0,0
4170,9th Grade,Male,White,2.67,Yes,No,Not Applicable,English,0,0,0,3
4171,2nd Grade,Female,White,2.67,Yes,No,Not Applicable,English,0,0,0,0
4172,11th Grade,Male,Black,3.33,Yes,No,Not Applicable,English,0,0,0,2
4173,6th Grade,Female,White,2.33,Yes,No,Not Applicable,English,0,0,0,3
4174,8th Grade,Female,Hispanic,2.33,No,No,Not Applicable,English,0,0,0,1
4175,4th Grade,Female,White,3.33,No,No,Not Applicable,English,0,0,0,2
4176,6th Grade,Male,Hispanic,3,No,No,Not Applicable,English,0,0,0,1
4177,8th Grade,Female,White,3,Yes,Yes,Speech/Language Impairments,English,0,0,0,3
4178,6th Grade,Male,White,3.67,Yes,No,Not Applicable,English,0,0,0,1
4179,10th Grade,Female,Hispanic,3,Yes,No,Not Applicable,Other,0,0,0,1
4180,6th Grade,Female,White,2.33,Yes,Yes,Speech/Language Impairments,English,0,0,0,0
4181,3rd Grade,Male,White,3.67,Yes,No,Not Applicable,Other,9,5,1,8
4182,11th Grade,Male,White,3,No,No,Not Applicable,Other,0,0,0,2
4183,6th Grade,Male,White,3,Yes,No,Not Applicable,English,0,0,0,0
4184,3rd Grade,Female,White,3.33,No,No,Not Applicable,English,0,0,0,4
4185,11th Grade,Male,White,3,Yes,No,Not Applicable,English,0,0,0,0
4186,7th Grade,Male,White,2,No,No,Not Applicable,Other,0,0,2,1
4187,3rd Grade,Male,Native,3.33,No,Yes,Specific Learning Disability,English,0,0,0,3
4188,Kindergarten,Male,Hispanic,3,Yes,No,Not Applicable,English,0,0,0,3
4189,3rd Grade,Female,Pacific Islander,2.33,No,No,Not Applicable,English,1,2,1,7
4190,9th Grade,Male,White,3,Yes,No,Not Applicable,English,0,0,0,0
4191,9th Grade,Female,White,2.67,Yes,Yes,Speech/Language Impairments,English,1,2,11,8
4192,6th Grade,Male,White,3,Yes,No,Not Applicable,English,0,0,0,0
4193,11th Grade,Male,White,2.67,No,Yes,Other,English,0,0,0,3
4194,6th Grade,Female,White,3,No,No,Not Applicable,English,0,0,0,2
4195,11th Grade,Male,Asian,3,No,No,Not Applicable,Spanish,0,0,0,2
